front,back,category
"What is the difference between weather and climate?","Weather: What is happening outside daily (e.g., sunny today, rainy tomorrow).",GED Study
"What primarily drives ocean currents?","Ocean currents are driven by wind patterns and variations in water temperature.",GED Study
"How do ocean currents act as a heat transfer system?","They move warm water from the equator toward the poles.",GED Study
"How does this heat exchange affect the planet?","It redistributes thermal energy, which significantly impacts global weather patterns, atmospheric conditions, and overall climate.",GED Study
"What is the purpose of a climate map?","Climate maps use data collected over several decades to reveal general trends and variations in weather patterns, such as average temperatures.",GED Study
"Why do the Northern and Southern United States have such different climates?","It is due to the uneven heating of the Earth.",GED Study
"Why do scientists believe Earth’s temperature is slowly rising?","Scientists believe the temperature is rising because humans burn fossil fuels (wood, coal, and oil), which releases carbon dioxide (CO 2 ​ ) that traps heat around the Earth. Diagram showing the greenhouse effect Diagram showing the greenhouse effect",GED Study
"What are fossil fuels?","Energy sources like wood, coal, and oil that, when burned, send carbon dioxide into the atmosphere.",GED Study
"What is the primary cause of climate change according to Viewpoint 1?","Human-produced greenhouse gases have been the primary cause since 1900, while the Sun is believed to have had only a ""minor effect"".",GED Study
"What is the primary cause of climate change according to Viewpoint 2?","Variations in solar activity (such as sunspots and solar irradiance), rather than the burning of fossil fuels.",GED Study
"What skill is the GED testing when it presents different viewpoints?","It tests your ability to distinguish between facts and opinions and your awareness of how a person’s viewpoint might affect their judgment.",GED Study
"What is a key strategy for answering multiple-choice questions about viewpoints?","Read the question first, then carefully read the passage to identify specific evidence that supports the writer's claim.",GED Study
"What is matter and what is it made of?","Matter is anything living or non-living that takes up space. It is composed of tiny parts called atoms, which are the smallest units of matter and the ""building blocks"" for everything else.",GED Study
"What are the three subatomic particles that make up an atom?","Protons: Found in the nucleus.",GED Study
"What is the nucleus of an atom?","The center of the atom that contains protons and neutrons. Just like the nucleus of a cell, it determines what the atom is.",GED Study
"How do you calculate the atomic mass of an atom?","By adding the number of protons and neutrons together.",GED Study
"What determines the identity of an element (what it is)?","The number of protons in the atom. For example, an atom with 20 protons is always calcium.",GED Study
"What are the electrical charges of the three subatomic particles?","Protons: Positive (+1) charge.",GED Study
"What is an ion?","A charged atom (or group of atoms) that has an electric charge. This occurs when the number of electrons is not equal to the number of protons.",GED Study
"What is the difference between a cation and an anion?","Cation: A positively charged ion created when there are more protons than electrons.",GED Study
"Why do most atoms start with zero electrical charge?","Because they typically have the same number of protons and electrons, which balances the positive and negative charges to zero.",GED Study
"What force helps hold an atom together?","Attraction between opposite charges; the positive charge of the protons in the nucleus pulls on the negative charge of the orbiting electrons.",GED Study
"What is an element?","Matter made of only one kind of atom.",GED Study
"What determines the identity of an element?","The number of protons in its atoms.",GED Study
"What is the difference between a compound and a mixture?","Compound: Two or more different elements joined in definite proportions to create a new substance with different properties (e.g., Water is a liquid, even though its components, Hydrogen and Oxygen, are gases).",GED Study
"What are molecules and chemical bonds?","Molecule: Two or more atoms joined together.",GED Study
"What is an ionic bond?","A bond formed when a metal joins with a nonmetal.",GED Study
"What is a covalent bond?","A bond formed when two non-metallic ions join together.",GED Study
"What are the four main states of matter?","Solids",GED Study
"How do molecules behave in Solids, Liquids, and Gases?","Solids: Packed tightly; fixed shape and volume.",GED Study
"What is Plasma?","The fourth state of matter where gas molecules become electrically charged (ionized) due to extreme energy. It is found in the sun, stars, lightning, and neon signs.",GED Study
"What does it mean for a substance to be a fluid?","A substance that can flow and change shape according to its container. Both liquids and gases are considered fluids.",GED Study
"What are the four common phase changes?","Melting: Solid → Liquid",GED Study
"What defines a physical change?","A change where the state of matter changes, but the substance itself stays the same.",GED Study
"What is a chemical change?","A process where one substance is transformed into a completely different substance with different properties. This process is called a chemical reaction.",GED Study
"What are reactants and products?","Reactants: The starting substances in a chemical reaction.",GED Study
"What does the Law of Conservation of Mass state?","That mass is conserved during a chemical reaction. This means atoms are not created or destroyed; they are simply rearranged. The total mass of the reactants must equal the total mass of the products.",GED Study
"What are some everyday signs of a chemical reaction?","Burning (combustion)",GED Study
"What is the difference between endothermic and exothermic reactions?","Exothermic: A reaction that releases energy (usually as heat or light), like a fire.",GED Study
"What is a Synthesis (Combination) reaction?","A reaction where two substances combine to make one new substance.",GED Study
"What is a Decomposition reaction?","A reaction where one substance breaks down into two or more new ones.",GED Study
"What is a Single Displacement reaction?","A reaction where one atom or molecule switches from one substance to another.",GED Study
"What is a Double Displacement reaction?","A reaction where two substances swap parts with each other.",GED Study
"What is combustion?","A chemical reaction where a reactant (usually containing carbon) combines with oxygen to release energy in the form of heat and light.",GED Study
"What is a catalyst?","A substance that speeds up a chemical reaction or helps it occur without being consumed by the reaction itself.",GED Study
"What is an exothermic reaction?","A reaction that releases energy into its surroundings, usually as heat or light.",GED Study
"What is an endothermic reaction?","A reaction that absorbs energy from its surroundings.",GED Study
"What is activation energy?","The minimum amount of energy needed to get a chemical reaction started. For example, the heat from a match provides the activation energy needed to start a campfire.",GED Study
"What is an enzyme?","A biological catalyst (like catalase) that speeds up chemical reactions inside living organisms. They are essential for processes like breaking down toxins or digesting food.",GED Study
"How do pH and temperature affect enzymes?","Enzymes require specific environmental conditions to work correctly. If the temperature or pH is too high or too low, the enzyme may not function or could even break down.",GED Study
"What does a bell-shaped curve on a temperature vs. reaction rate graph indicate?","It shows that the reaction rate increases as temperature rises until it reaches an optimal temperature, after which the rate decreases (often because the enzyme begins to break down).",GED Study
"When analyzing a graph, what is the first thing you should check?","The labels on the X-axis (horizontal) and Y-axis (vertical). This tells you exactly what relationship is being measured (e.g., Temperature vs. Rate of Reaction).",GED Study
"What is the best strategy for ""Statement Analysis"" questions on the GED?","Test each multiple-choice statement against the data in the graph. Eliminate options that only describe part of the graph (like only the increase) or contradict the visual trend.",GED Study
"What is the fundamental difference between a physical change and a chemical change?","Physical Change: No new substance is formed; it is often reversible (e.g., melting ice [01:09]).",GED Study
"What ""magic"" happens to properties during a chemical reaction?","The products have very different properties from the reactants.",GED Study
"How do you convert a word equation into a chemical equation?","For Elements: Use their Atomicity (e.g., Hydrogen is H 2 ​ , Oxygen is O 2 ​ ).",GED Study
"What is the ""Atomic Rule"" for writing Metals in an equation?","All metals have an atomicity of 1. Therefore, when writing them as an element, you use just their symbol (e.g., Sodium is Na, Iron is Fe) [08:15].",GED Study
"Why MUST a chemical equation be balanced?","To satisfy the Law of Conservation of Mass. Mass cannot be created or destroyed, so the number of atoms for each element must be the same on both the reactant and product sides [09:29].",GED Study
"What does the state symbol (aq) stand for?","It stands for Aqueous, which means the substance is dissolved in water. This is different from (l) for liquid, which refers to a pure liquid or a molten substance [16:14].",GED Study
"What are the five main characteristics of a chemical reaction?","Change in State (e.g., burning a candle [19:25])",GED Study
"What is a precipitate (PPT)?","An insoluble solid that emerges from a liquid solution during a chemical reaction. It often settles at the bottom of the container [23:19].",GED Study
"Can a single event involve both physical and chemical changes?","Yes. When a candle burns:",GED Study
